Date;Year;Month;location;Day;number of fish;Ave weight per fish (gr);Total biomass (kg);Food (kg)
26.02.13;2013;February;D1.;0;4750;247;1173;23,465
06.03.13;2013;March;D1.;8;;;1921;11,772
09.04.13;2013;April;D1.;42;5650;478;2294,4;65
24.04.13;2013;April;D1.;57;5650;502;2409,6;65
08.05.13;2013;May ;D1.;71;5650;657;3153,6;91
12.05.13;2013;May;D1.;75;7350;628;4693;104
23.05.13;2013;May;D1.;86;7360;808;5047,576;117
06.06.13;2013;June;D1.;100;7360;917;5728,499;130
24.06.13;2013;June;D1.;118;7360;1200;7496,4;143
07.07.13;2013;July;D1.;131;7360;1450;9058,15;143
30.07.13;2013;July;D1.;154;7360;2060;12868,82;169
13.08.13;2013;August;D1.;168;7360;2736;17072,64;169
20.08.13;2013;August;D1.;175;;;12035;
09.02.14;2014;February;D1.;0;2200;150;330;6,6
11.02.14;2014;February;D1.;2;4470;100;447;8,94
12.02.14;2014;February;D1.;3;3800;112;429;8,58
20.03.14;2014;March;D1.;39;10470;370;3293;65,86
29.04.14;2014;April;D1.;79;8900;534;3848,36;146,13088
15.05.14;2014;May ;D1.;95;8900;631;4740,14;156,82334
02.06.14;2014;June;D1.;113;10470;648;5767,2;138,573
23.06.14;2014;June;D1.;134;9470;749;5992;173,016
10.07.14;2014;July;D1.;151;9470;910;7280;167,776
23.07.14;2014;July;D1.;164;9470;1270;10160;174,72
05.08.14;2014;August;D1.;177;9470;1900;15200;203,2
05.09.14;2014;August;D1.;208;;;9826;273,6
24.03.15;2015;March;D1.;0;;;3478;69,56
19.04.15;2015;April;D1.;26;19568;342;5352,3;107,046
10.05.15;2015;May ;D1.;47;19568;439;6870,35;137,407
02.06.15;2015;June;D1.;70;19568;506;7918,9;158,378
17.06.15;2015;June;D1.;85;19568;594;9296,1;185,922
01.07.15;2015;July;D1.;99;19568;690;10798,5;215,97
14.07.15;2015;July;D1.;112;19568;729;11408,85;228,177
30.07.15;2015;July;D1.;128;19568;810;12676,5;278,883
13.08.15;2015;August;D1.;142;19568;908;14210,2;312,6244
27.08.15;2015;August;D1.;156;19568;1100;17215;378,73
31.08.15;2015;August;D1.;160;;;18608;378,73
05.05.13;2013;May ;V2.;0;1250000;;;
23.05.13;2013;May;V2.;18;430000;0,1;43;10
20.06.13;2013;June;V2.;46;430000;0,5;215;42
07.07.13;2013;July;V2.;63;430000;0,9;387;78
16.07.13;2013;July;V2.;72;;;498,6;78
06.08.13;2013;August;V2.;93;;;826;
28.08.13;2013;August;V2.;115;;;1500;
22.09.13;2013;September;V2.;140;;;2804;
30.03.14;2014;March;V2.;0;2100000;;2,1;0
11.05.14;2014;May;V2.;42;2100000;1,11;932,4;186,48
25.05.14;2014;May;V2.;56;2100000;2,75;2310;346,5
08.06.14;2014;June;V2.;70;;;2680;
01.04.15;2015;April;V2.;0;2750000;;2,75;1,5
28.04.15;2015;April;V2.;27;962500;0,8;770;73,6
06.05.15;2015;May;V2.;35;;;376;143,88
11.05.15;2015;May;V2.;40;519000;1,35;518;201,66
25.05.15;2015;May;V2.;54;;;1422,9;